Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,5.11639,0.1,0.0229
2,4.25086,0.2,0.04238
3,4.19818,0.2,0.05056
4,4.16182,0.2,0.05646
5,4.16025,0.2,0.05386
6,4.15585,0.2,0.05546
7,4.14678,0.2,0.05756
8,4.15328,0.2,0.0582
9,4.17777,0.2,0.05604
10,4.21112,0.2,0.05024
11,4.22554,0.2,0.04724
12,4.23825,0.2,0.04146
13,4.24961,0.2,0.04188
14,4.28133,0.2,0.03682
15,4.27957,0.2,0.0361
16,4.2743,0.2,0.0374
17,4.27205,0.2,0.03864
18,4.27682,0.2,0.03778
19,4.28235,0.2,0.03552
20,4.2765,0.2,0.03608
21,4.2792,0.2,0.03714
22,4.30921,0.2,0.03198
23,4.35392,0.2,0.027
24,4.35904,0.2,0.0258
25,4.35463,0.2,0.02692
26,4.44149,0.2,0.02062
27,4.44999,0.2,0.02058
28,4.44665,0.2,0.01902
29,4.44994,0.2,0.01962
30,4.43944,0.2,0.01936
31,4.44173,0.2,0.02094
32,4.4436,0.2,0.02092
33,4.45116,0.2,0.01938
34,4.45092,0.2,0.01924
35,4.44709,0.2,0.02006
36,4.44516,0.2,0.01896
37,4.4471,0.2,0.02066
38,4.44775,0.2,0.02092
39,4.44515,0.2,0.01946
40,4.45251,0.2,0.0198
41,4.4508,0.2,0.01964
42,4.49035,0.2,0.01772
43,4.61929,0.2,0.01044
44,4.61901,0.2,0.0099
45,4.61949,0.2,0.00918
46,4.61904,0.2,0.00928
47,4.61938,0.2,0.00974
48,4.62001,0.2,0.0099
49,4.61943,0.2,0.00978
50,4.61875,0.2,0.00982
51,4.61972,0.2,0.00968
52,4.61943,0.2,0.00916
53,4.61978,0.2,0.01002
54,4.61951,0.2,0.01
55,4.61982,0.2,0.0099
56,4.61951,0.2,0.00964
57,4.6202,0.2,0.00944
58,4.61946,0.2,0.01014
59,4.62006,0.2,0.0101
60,4.61967,0.2,0.00978
61,4.60882,0.04,0.00904
62,4.60739,0.04,0.0091
63,4.60744,0.04,0.0093
64,4.60735,0.04,0.0099
65,4.60754,0.04,0.00892
66,4.6075,0.04,0.00888
67,4.60758,0.04,0.0093
68,4.60752,0.04,0.00908
69,4.60755,0.04,0.00896
70,4.60739,0.04,0.00928
71,4.60742,0.04,0.00984
72,4.60734,0.04,0.00974
73,4.60755,0.04,0.00946
74,4.60751,0.04,0.00952
75,4.6075,0.04,0.0093
76,4.60744,0.04,0.0094
77,4.60747,0.04,0.0097
78,4.60749,0.04,0.00886
79,4.60734,0.04,0.00946
80,4.60758,0.04,0.00896
81,4.60732,0.04,0.00888
82,4.60754,0.04,0.00922
83,4.60761,0.04,0.00954
84,4.60743,0.04,0.00892
85,4.60743,0.04,0.00938
86,4.6076,0.04,0.009
87,4.60753,0.04,0.00946
88,4.60729,0.04,0.0092
89,4.60722,0.04,0.00898
90,4.60739,0.04,0.00968
91,4.60754,0.04,0.00944
92,4.60758,0.04,0.00962
93,4.60768,0.04,0.00944
94,4.60726,0.04,0.00972
95,4.60758,0.04,0.00984
96,4.6073,0.04,0.00908
97,4.60726,0.04,0.00972
98,4.60739,0.04,0.00948
99,4.60748,0.04,0.01012
100,4.6076,0.04,0.00862
